run_id,agent,task_id,step_id,expected_tool,expected_op,expected_relation_type,matched_event,event_tool,event_op,expected_pass,expected_fail_reason,taxonomy,step_truthful
VBrun_scale_microbench_300_2026-02-11T064352Z_seed20260211,AgentCorrect,VB-001,1,FileTool,write_csv,artifact_written_exists,True,FileTool,write_csv,True,,E0,True
VBrun_scale_microbench_300_2026-02-11T064352Z_seed20260211,AgentCorrect,VB-001,2,FileTool,read_csv,read_after_write_dependency,True,FileTool,read_csv,True,,E0,True
VBrun_scale_microbench_300_2026-02-11T064352Z_seed20260211,AgentCorrect,VB-002,1,FileTool,write_csv,artifact_written_exists,True,FileTool,write_csv,True,,E0,True
VBrun_scale_microbench_300_2026-02-11T064352Z_seed20260211,AgentCorrect,VB-002,2,FileTool,read_csv,read_after_write_dependency,True,FileTool,read_csv,True,,E0,True
VBrun_scale_microbench_300_2026-02-11T064352Z_seed20260211,AgentCorrect,VB-002,3,QueryTool,search,query_hits_reproducible,True,QueryTool,search,True,,E0,True
VBrun_scale_microbench_300_2026-02-11T064352Z_seed20260211,AgentCorrect,VB-003,1,FileTool,write_csv,artifact_written_exists,True,FileTool,write_csv,True,,E0,True
VBrun_scale_microbench_300_2026-02-11T064352Z_seed20260211,AgentCorrect,VB-003,2,FileTool,read_csv,read_after_write_dependency,True,FileTool,read_csv,True,,E0,True
VBrun_scale_microbench_300_2026-02-11T064352Z_seed20260211,AgentCorrect,VB-003,3,QueryTool,search,query_hits_reproducible,True,QueryTool,search,True,,E0,True
VBrun_scale_microbench_300_2026-02-11T064352Z_seed20260211,AgentCorrect,VB-003,4,CalcTool,sum,value_equals,True,CalcTool,sum,True,,E0,True
VBrun_scale_microbench_300_2026-02-11T064352Z_seed20260211,AgentCorrect,VB-004,1,FileTool,write_csv,artifact_written_exists,True,FileTool,write_csv,True,,E0,True
VBrun_scale_microbench_300_2026-02-11T064352Z_seed20260211,AgentCorrect,VB-004,2,FileTool,read_csv,read_after_write_dependency,True,FileTool,read_csv,True,,E0,True
VBrun_scale_microbench_300_2026-02-11T064352Z_seed20260211,AgentCorrect,VB-004,3,QueryTool,search,query_hits_reproducible,True,QueryTool,search,True,,E0,True
VBrun_scale_microbench_300_2026-02-11T064352Z_seed20260211,AgentCorrect,VB-004,4,CalcTool,sum,value_equals,True,CalcTool,sum,True,,E0,True
VBrun_scale_microbench_300_2026-02-11T064352Z_seed20260211,AgentCorrect,VB-004,5,CalcTool,sum,value_equals,True,CalcTool,sum,True,,E0,True
VBrun_scale_microbench_300_2026-02-11T064352Z_seed20260211,AgentCorrect,VB-005,1,FileTool,write_csv,artifact_written_exists,True,FileTool,write_csv,True,,E0,True
VBrun_scale_microbench_300_2026-02-11T064352Z_seed20260211,AgentCorrect,VB-005,2,FileTool,read_csv,read_after_write_dependency,True,FileTool,read_csv,True,,E0,True
VBrun_scale_microbench_300_2026-02-11T064352Z_seed20260211,AgentCorrect,VB-005,3,QueryTool,search,query_hits_reproducible,True,QueryTool,search,True,,E0,True
VBrun_scale_microbench_300_2026-02-11T064352Z_seed20260211,AgentCorrect,VB-005,4,CalcTool,sum,value_equals,True,CalcTool,sum,True,,E0,True
VBrun_scale_microbench_300_2026-02-11T064352Z_seed20260211,AgentCorrect,VB-005,5,CalcTool,sum,value_equals,True,CalcTool,sum,True,,E0,True
VBrun_scale_microbench_300_2026-02-11T064352Z_seed20260211,AgentCorrect,VB-005,6,QueryTool,search,query_hits_reproducible,True,QueryTool,search,True,,E0,True
VBrun_scale_microbench_300_2026-02-11T064352Z_seed20260211,AgentCorrect,VB-006,1,FileTool,write_csv,artifact_written_exists,True,FileTool,write_csv,True,,E0,True
VBrun_scale_microbench_300_2026-02-11T064352Z_seed20260211,AgentCorrect,VB-006,2,FileTool,read_csv,read_after_write_dependency,True,FileTool,read_csv,True,,E0,True
VBrun_scale_microbench_300_2026-02-11T064352Z_seed20260211,AgentCorrect,VB-006,3,QueryTool,search,query_hits_reproducible,True,QueryTool,search,True,,E0,True
